'File151';'Statement';'Attribute';'Deontic';'Aim';'Direct-Object';'Indirect-Object';'Activation-Condition-Content';'Execution-Constraint-Content'
'Reg-FloodForecasting';'025';'Government of Tamil Nadu';'will';'develop and deploy';'flood forecasting Decision Support System';'Under Tamil Nadu Sustainable Urban Development Project';'-';'-'
'Reg-DisasterMitigationFund';'026';'Government of Tamil Nadu';'must';'create';'Disaster Mitigation Fund';'-';'-';'-'
'Reg-PrivateSector';'027';'??';'must';'engage and support';'investments in better design and construction through Building Codes';''Private Sector'';'-';'-'
'Reg-Mainstreaming-DP';'028';'Government of Tamil Nadu';'will';'promote the mainstreaming of disaster risk assessments';'into urban planning and land use planning';'-';'-';'-'
'Reg-OngoingProjects';'029';'Government of Tamil Nadu';'will';'mandate the assessment and inclusion';'of disaster risks';'into the schemes and projects';'-';'-'
'Reg-BeginPreparedness';'030';'Greater Chennai Corporation';'must';'begin preparedness activities';'-';'-';'in September';'-'
'Reg-SOP-WaterWays-PreRains';'031';'Greater Chennai Corporation';'must';'prepare for the coming monsoon';'Waterways';'-';'Reg-BeginPreparedness';'-'
'031.001';'031.001';'(Missing)';'must';'Clean';'Chute Pipes';'-';'-';'-'
'031.002';'031.002';'(Missing)';'-';'-';'-';'-';'-';'-'
'031.003';'031.003';'(Missing)';'must';'Construct and cover';'Missing links between stormwater drains';'-';'-';'-'
'031.006';'031.006';'(Missing)';'must';'procure, inventory, maintain, deploy';'Tools (for SWD maintenance)';'-';'-';'-'
'031.009';'031.009';'(Missing)(Sold Waste Management)';'must';'collect garbage';'from streets and around bins.';'-';'-';'-'
'Reg-SOP-WaterWays-InRain';'032';'Greater Chennai Corporation';'must';'respond (to)';'Rain';'-';'-';'-'
'032.001';'032.001';'(Missing)';'must';'examine and assess';'manhole covers';'-';'-';'-'
'032.002';'032.002';'(Missing)';'-';'-';'-';'-';'-';'-'
'032.003';'032.003';'(Missing)';'must';'ensure water flows (to)';'Storm Water Drains';'-';'-';'-'
'032.004';'032.004';'(Missing)';'may';'use';'pumps';'-';'-';'-'
'032.006';'032.006';'(Missing)';'may';'uncover (manholes) to drain water faster';'Manholes of SWDs';'-';'-';'safety signs must be provided around the manhole.'
'032.007';'032.007';'(Missing)';'may';'build';'temporary drains';'-';'-';'-'
'032.009';'032.009';'(Missing)';'may';'divert';'traffic';'-';'-';'-'
'032.010';'032.010';'(Missing)';'must';'monitor';'Stormwater drains';'-';'-';'-'
'Reg-SOP-Stagnation';'033';'Greater Chennai Corporation';'must';'monitor';'areas that experience frequent inundation.';'-';'-';'-'
'033.001';'033.001';'(Missing)';'must';'clean';'RWH Structures';'-';'-';'-'
'033.009';'033.009';'Assisting Engineer';'must';'ensure (object) is checked and kept in ready condititon';'Machineries and Pumps';'-';'-';'Log book of machines should be maintained'
'033.010';'033.010';'Assisting Engineer';'must';'maintain';'log book of machinery and pump readiness';'-';'-';'-'
'Reg-SOP-ReliefCentre-PreRain';'034';'(Missing)';'-';'-';'-';'-';'-';'-'
'034.001';'034.001';'(Missing)';'must';'maintain';'the relief centre';'-';'-';'(according to the items in the SOP)'
'034.002';'034.002';'(Missing)';'must';'manage resources and train staff';'(Relief Centre Staff)';'-';'-';'-'
'034.003';'034.003';'Metro Water Chennai';'must';'provide';'emergency water supplies';'-';'-';'-'
'034.004';'034.004';'Greater Chennai Corporation OR Relief Centre Operator';'must';'provide location and information (about relief centre)';'Relief Centre';'-';'-';'-'
'034.005';'034.005';'Police';'must';'be deployed';'-';'-';'-';'-'
'Reg-SOP-ReliefCentre-InRain';'035';'(Missing)';'-';'-';'-';'-';'-';'-'
'035.001';'035.001';'(Relief Centre)';'must';'ensure services are provided (to shelter seekers)';'Shelter Seekers';'-';'-';'-'
'035.002';'035.002';'(Relief Centre)';'must';'provide food and medical relief services';'to the community?';'-';'-';'-'
'035.003';'035.003';'(Relief Centre)';'must';'coordinate public relations';'-';'-';'-';'-'
'Reg-SOP-CommonKitchen';'036';'Greater Chennai Corporation';'must';'maintain (facilities) to produce food packets';'Common Kitchens';'-';'-';'“In each common kitchen one Sanitary Inspector will be posted round the clock to monitor food preparation & food hygiene.” (Greater Chennai Corporation (GCC), 2021, p. cxxviii)'
'036.001';'036.001';'Sanitary Inspector';'must';'monitor food preparation and hygiene';'in Common Kitchen';'-';'When Kitchen is in use';'-'
'036.002';'036.002';'Greater Chennai Corporation';'must';'operate temporary food centres (in)';'Private event facilities';'-';'when additional capacity is needed';'Assistant Revenue Officer to supervise'
'036.003';'036.003';'Greater Chennai Corporation';'may';'provide food from (Canteens)';'Amma Canteens (Subsidised Civil Supplies Canteens)';'-';'-';'-'
'036.004';'036.004';'Milk Cooperatives';'may';'provide emergency milk supplies';'-';'-';'-';'-'
'Reg-SOP-Subways-PreRain';'037';'Greater Chennai Corporation';'must';'maintain';'Subways';'-';'-';'to ensure free-flow of traffic'
'037.001';'037.001';'Greater Chennai Corporation';'must';'solicit/arrange/borrow';'water pumps';'Agriculture Engineering Department, Fire Service Department, Private Sources';'(When Required)';'-'
'037.002';'037.001';'Greater Chennai Corporation';'must';'deploy pump operators';'to Subways as required';'-';'-';'037.003'
'037.003';'037.003';'Pump Operator';'must';'submit reports on water level';'Reporting Officer';'-';'-';'-'
'Reg-SOP-Subways-InRain';'038';'(Missing)';'must';'ensure roads remain functional during the rain';'Subways';'-';'-';'-'
'038.003';'038.003';'Subway worker';'must';'monitor the navigability of the subway and share information';'(With Whom?)';'-';'-';'-'
'Reg-SOP-TreeFall';'039';'Greater Chennai Corporation';'must';'ensure removal and disposal (of)';'fallen trees (on)';'roads';'-';'-'
'039.001';'039.001';'Greater Chennai Corporation';'must';'periodically assess the health and stability (of)';'Trees';'-';'-';'-'
'039.002';'039.002';'Conservancy Workers';'must';'inform (authorities) about fallen trees';'Assistant Engineers';'-';'-';'-'
'039.003';'039.003';'(Missing)';'must';'identify and report trees';'TANGEDCO';'-';'-';'-'
'039.004';'039.004';'Greater Chennai Corporation';'must';'communicate';'with Control Room, Traffic Police, Fire Services and TANGEDCO';'-';'-';'-'
'039.005';'039.005';'Greater Chennai Corporation';'may';'hire/engage temporary workers/contractors to support tree clearnace';'-';'-';'If own staff are insufficient.';'-'
'Reg-SOP-Streets-LowRisk';'040';'Greater Chennai Corporation';'must';'plan strategies for Low Risk Streets';'-';'-';'-';'-'
'040.001';'040.001';'Building Owners (Reg-PrivateSector or Greater Chennai Corporation)';'should';'clean and maintain';'Rain Water Harvesting Structures';'-';'in preparation of Rains';'-'
'040.002';'040.002';'Greater Chennai Corporation';'may';'inspect buildings and recommend that ground level be raised (by)';'Building Owners';'-';'when road levels are raised during maintenance.';'-'
'Reg-SOP-Streets-Evac';'041';'Greater Chennai Corporation';'must';'be prepared for evacuations (from)';'high impact streets';'-';'-';'-'
'041.001';'041.001';'(Missing)';'must';'monitor river levels and discharges from upstream';'-';'-';'-';'-'
'041.002';'041.002';'Greater Chennai Corporation';'must';'arrange and deploy';'Public Address systems';'-';'-';'-'
'041.003';'041.003';'(Relief Centre)';'must';'estimate people to be evacuated';'-';'-';'-';'-'
'041.004';'041.004';'(Missing)';'must';'train staff and assign responsibilities.';'-';'-';'-';'-'
'041.005';'041.005';'(Missing) (Relief Center?)';'must';'have the freedom to make unforseen expenses';'-';'-';'-';'-'
'041.006';'041.006';'(Mortuaries / Crematoriums / Graveyards)';'must';'be kept functional';'-';'-';'-';'-'
'Reg-SOP-NDRF';'042';'TNDRF or NDRF';'must';'deploy to chosen locations for relief and evacuation support';'-';'-';'-';'-'
'042.001';'042.001';'Greater Chennai Corporation';'must';'create list of vulnerable location and deployment positions (for)';'NDRF';'-';'-';'-'
'042.003';'042.003';'Greater Chennai Corporation';'must';'procure fuel for use (by)';'NDRF';'-';'-';'-'
'042.004';'042.004';'(Missing)';'must';'arrange joint inspections';'-';'-';'-';'-'
'Reg-SOP-Health';'043';'Greater Chennai Corporation';'must';'deploy staff to each relied centre to ensure Health and Hygiene';'Medical Officer, Paramedical Staff, Sanitatry Inspector';'-';'-';'043.001'
'043.001';'043.001';'(Missing)';'-';'-';'-';'-';'-';'-'
'043.002';'043.002';'Medical Officers';'must';'ensure stocks of medicines and disinfectants are maintained in each zone';'-';'-';'-';'-'
'043.003';'043.003';'Communicable Diseases Hospital';'must';'report cases of diarrheal infections (to)';'Zonal Health Officers';'-';'-';'-'
'043.005';'043.005';'(Missing)';'must';'identify sources of water contamination and communicate';'CMWSSB';'-';'-';'-'
'043.006';'043.006';'Sanitary Inspectors';'must';'periodically conduct anti-larval activities';'-';'-';'-';'-'
'043.007';'043.007';'Veterinary Officers';'must';'Coordinate with () to arrange health camps';'Medical Officers | ???';'-';'-';'-'
'043.011';'043.011';'Zonal Health Officers';'must';'take preventive measures for diarrheal diseases';'Respective Areas';'-';'When infections are reported';'-'
'Reg-SOP-Finances';'044';'Greater Chennai Corporation Financial Advisor?';'may';'disburse advances towards expenses (to)';'Zonal Officers, Heads of Departments, Officers-in-charge';'-';'-';'-'
'Con-SOP-WardCommittee';'045';'Greater Chennai Corporation';'must';'form Ward Committees to coordinate disaster response in each ward';'-';'-';'-';'Responsibilities of Ward Committee Members 045.001'
'045.001';'045.001';'(Missing)';'-';'-';'-';'-';'-';'-'
'045.002';'045.002';'Assistant Engineer / Junior Engineer GCC';'must';'perform the required activities for reads and subways';'-';'-';'-';'-'
'045.003';'045.003';'Assistant Engineer/Junior Engineer, GCC– Electrical,';'must';'maintain lighting';'-';'-';'-';'-'
'045.004';'045.004';'Sanitary Inspector';'must';'address sanitation and hygiene issues';'-';'-';'-';'-'
'045.007';'045.007';'Assistant Revenue Officer';'-';'-';'036.002';'-';'-';'-'
'045.008';'045.008';'(Missing)';'-';'-';'Reg-SOP-TreeFall';'-';'-';'-'
'045.009';'045.009';'Assistant Engineer, TANGEDCO';'must';'ensure';'24/7 electricity supply';'-';'-';'-'
'045.010';'045.010';'Assistant Engineer/Junior Engineer CMWSSB';'must';'ensure';'water supply';'-';'-';'-'
'045.011';'045.011';'BSNL';'must';'maintain';'connectivity';'-';'-';'-'
'045.012';'045.012';'Fire Services';'must';'Rescue people';'-';'-';'-';'-'
